February Northern Hemisphere Snow Cover Extent (1967-2022)
Units: million square km
1981-2010 Mean,45.59
Date,Value,Anomaly
1967,47.43,1.84
1968,43.74,-1.85
1969,48.23,2.64
1970,44.91,-0.68
1971,46.24,0.65
1972,48.89,3.30
1973,46.62,1.03
1974,45.33,-0.26
1975,44.94,-0.65
1976,45.23,-0.36
1977,44.39,-1.20
1978,51.32,5.73
1979,47.68,2.09
1980,48.50,2.91
1981,43.72,-1.87
1982,46.27,0.68
1983,46.81,1.22
1984,45.12,-0.47
1985,48.52,2.93
1986,47.92,2.33
1987,45.74,0.15
1988,45.42,-0.17
1989,44.23,-1.36
1990,43.51,-2.08
1991,45.59,0.00
1992,43.53,-2.06
1993,45.27,-0.32
1994,45.92,0.33
1995,42.67,-2.92
1996,45.03,-0.56
1997,45.58,-0.01
1998,44.77,-0.82
1999,43.85,-1.74
2000,45.54,-0.05
2001,45.50,-0.09
2002,42.93,-2.66
2003,48.54,2.95
2004,45.48,-0.11
2005,47.64,2.05
2006,46.03,0.44
2007,45.30,-0.29
2008,47.41,1.82
2009,44.93,-0.66
2010,49.05,3.46
2011,48.08,2.49
2012,48.33,2.74
2013,47.00,1.41
2014,46.81,1.22
2015,44.99,-0.60
2016,43.51,-2.08
2017,45.96,0.37
2018,46.29,0.70
2019,46.03,0.44
2020,43.48,-2.11
2021,46.09,0.50
2022,45.78,0.19
