January Northern Hemisphere Snow Cover Extent (1967-2022)
Units: million square km
1981-2010 Mean,46.87
Date,Value,Anomaly
1967,48.52,1.65
1968,46.29,-0.58
1969,47.73,0.86
1970,48.26,1.39
1971,47.41,0.54
1972,47.31,0.44
1973,46.25,-0.62
1974,46.05,-0.82
1975,44.95,-1.92
1976,45.68,-1.19
1977,49.00,2.13
1978,49.72,2.85
1979,49.41,2.54
1980,45.91,-0.96
1981,41.89,-4.98
1982,48.25,1.38
1983,46.51,-0.36
1984,46.52,-0.35
1985,50.18,3.31
1986,46.38,-0.49
1987,47.77,0.90
1988,47.39,0.52
1989,45.89,-0.98
1990,45.67,-1.20
1991,46.24,-0.63
1992,46.22,-0.65
1993,46.88,0.01
1994,45.27,-1.60
1995,46.13,-0.74
1996,46.93,0.06
1997,46.76,-0.11
1998,46.08,-0.79
1999,44.69,-2.18
2000,47.61,0.74
2001,47.05,0.18
2002,46.93,0.06
2003,48.01,1.14
2004,48.08,1.21
2005,46.56,-0.31
2006,48.01,1.14
2007,45.37,-1.50
2008,50.28,3.41
2009,47.60,0.73
2010,48.84,1.97
2011,49.10,2.23
2012,47.47,0.60
2013,49.22,2.35
2014,46.03,-0.84
2015,47.32,0.45
2016,48.80,1.93
2017,49.18,2.31
2018,46.93,0.06
2019,47.24,0.37
2020,46.38,-0.49
2021,46.77,-0.10
2022,47.29,0.42
