March Northern Hemisphere Snow Cover Extent (1967-2022)
Units: million square km
1981-2010 Mean,40.13
Date,Value,Anomaly
1967,42.98,2.85
1968,37.63,-2.50
1969,41.88,1.75
1970,42.00,1.87
1971,44.07,3.94
1972,40.89,0.76
1973,40.31,0.18
1974,39.47,-0.66
1975,41.27,1.14
1976,41.45,1.32
1977,40.05,-0.08
1978,43.76,3.63
1979,43.72,3.59
1980,42.77,2.64
1981,42.65,2.52
1982,40.69,0.56
1983,40.41,0.28
1984,41.12,0.99
1985,44.28,4.15
1986,39.93,-0.20
1987,43.63,3.50
1988,39.87,-0.26
1989,38.57,-1.56
1990,37.12,-3.01
1991,39.45,-0.68
1992,38.54,-1.59
1993,39.78,-0.35
1994,39.40,-0.73
1995,38.25,-1.88
1996,41.86,1.73
1997,39.02,-1.11
1998,41.35,1.22
1999,39.67,-0.46
2000,39.59,-0.54
2001,40.52,0.39
2002,37.62,-2.51
2003,41.68,1.55
2004,38.70,-1.43
2005,41.08,0.95
2006,40.98,0.85
2007,39.42,-0.71
2008,37.85,-2.28
2009,39.71,-0.42
2010,41.14,1.01
2011,42.63,2.50
2012,40.74,0.61
2013,41.68,1.55
2014,38.41,-1.72
2015,38.46,-1.67
2016,37.16,-2.97
2017,40.07,-0.06
2018,41.83,1.70
2019,39.48,-0.65
2020,37.71,-2.42
2021,38.61,-1.52
2022,40.04,-0.09
